sample,fastq_1,fastq_2,strandedness
D2_T1_T1_SL,/bucket/LuscombeU/live/CharlesPlessy/CAGE/2022-02-09_Osaka_Oik/SplitSpliceLeaderPE/results/tagdust/D2_T1_T1_SL_READ1.fq.gz,/bucket/LuscombeU/live/CharlesPlessy/CAGE/2022-02-09_Osaka_Oik/SplitSpliceLeaderPE/results/tagdust/D2_T1_T1_SL_READ2.fq.gz,forward
D2_T1_T1_no,/bucket/LuscombeU/live/CharlesPlessy/CAGE/2022-02-09_Osaka_Oik/SplitSpliceLeaderPE/results/tagdust/D2_T1_T1_SL_un_READ1.fq.gz,/bucket/LuscombeU/live/CharlesPlessy/CAGE/2022-02-09_Osaka_Oik/SplitSpliceLeaderPE/results/tagdust/D2_T1_T1_SL_un_READ2.fq.gz,forward
DE1_T1_T1_SL,/bucket/LuscombeU/live/CharlesPlessy/CAGE/2022-02-09_Osaka_Oik/SplitSpliceLeaderPE/results/tagdust/DE1_T1_T1_SL_READ1.fq.gz,/bucket/LuscombeU/live/CharlesPlessy/CAGE/2022-02-09_Osaka_Oik/SplitSpliceLeaderPE/results/tagdust/DE1_T1_T1_SL_READ2.fq.gz,forward
DE1_T1_T1_no,/bucket/LuscombeU/live/CharlesPlessy/CAGE/2022-02-09_Osaka_Oik/SplitSpliceLeaderPE/results/tagdust/DE1_T1_T1_SL_un_READ1.fq.gz,/bucket/LuscombeU/live/CharlesPlessy/CAGE/2022-02-09_Osaka_Oik/SplitSpliceLeaderPE/results/tagdust/DE1_T1_T1_SL_un_READ2.fq.gz,forward
DE2_T1_T1_SL,/bucket/LuscombeU/live/CharlesPlessy/CAGE/2022-02-09_Osaka_Oik/SplitSpliceLeaderPE/results/tagdust/DE2_T1_T1_SL_READ1.fq.gz,/bucket/LuscombeU/live/CharlesPlessy/CAGE/2022-02-09_Osaka_Oik/SplitSpliceLeaderPE/results/tagdust/DE2_T1_T1_SL_READ2.fq.gz,forward
DE2_T1_T1_no,/bucket/LuscombeU/live/CharlesPlessy/CAGE/2022-02-09_Osaka_Oik/SplitSpliceLeaderPE/results/tagdust/DE2_T1_T1_SL_un_READ1.fq.gz,/bucket/LuscombeU/live/CharlesPlessy/CAGE/2022-02-09_Osaka_Oik/SplitSpliceLeaderPE/results/tagdust/DE2_T1_T1_SL_un_READ2.fq.gz,forward
EB1_T1_T1_SL,/bucket/LuscombeU/live/CharlesPlessy/CAGE/2022-02-09_Osaka_Oik/SplitSpliceLeaderPE/results/tagdust/EB1_T1_T1_SL_READ1.fq.gz,/bucket/LuscombeU/live/CharlesPlessy/CAGE/2022-02-09_Osaka_Oik/SplitSpliceLeaderPE/results/tagdust/EB1_T1_T1_SL_READ2.fq.gz,forward
EB1_T1_T1_no,/bucket/LuscombeU/live/CharlesPlessy/CAGE/2022-02-09_Osaka_Oik/SplitSpliceLeaderPE/results/tagdust/EB1_T1_T1_SL_un_READ1.fq.gz,/bucket/LuscombeU/live/CharlesPlessy/CAGE/2022-02-09_Osaka_Oik/SplitSpliceLeaderPE/results/tagdust/EB1_T1_T1_SL_un_READ2.fq.gz,forward
EB2_T1_T1_SL,/bucket/LuscombeU/live/CharlesPlessy/CAGE/2022-02-09_Osaka_Oik/SplitSpliceLeaderPE/results/tagdust/EB2_T1_T1_SL_READ1.fq.gz,/bucket/LuscombeU/live/CharlesPlessy/CAGE/2022-02-09_Osaka_Oik/SplitSpliceLeaderPE/results/tagdust/EB2_T1_T1_SL_READ2.fq.gz,forward
EB2_T1_T1_no,/bucket/LuscombeU/live/CharlesPlessy/CAGE/2022-02-09_Osaka_Oik/SplitSpliceLeaderPE/results/tagdust/EB2_T1_T1_SL_un_READ1.fq.gz,/bucket/LuscombeU/live/CharlesPlessy/CAGE/2022-02-09_Osaka_Oik/SplitSpliceLeaderPE/results/tagdust/EB2_T1_T1_SL_un_READ2.fq.gz,forward
EB3_T1_T1_SL,/bucket/LuscombeU/live/CharlesPlessy/CAGE/2022-02-09_Osaka_Oik/SplitSpliceLeaderPE/results/tagdust/EB3_T1_T1_SL_READ1.fq.gz,/bucket/LuscombeU/live/CharlesPlessy/CAGE/2022-02-09_Osaka_Oik/SplitSpliceLeaderPE/results/tagdust/EB3_T1_T1_SL_READ2.fq.gz,forward
EB3_T1_T1_no,/bucket/LuscombeU/live/CharlesPlessy/CAGE/2022-02-09_Osaka_Oik/SplitSpliceLeaderPE/results/tagdust/EB3_T1_T1_SL_un_READ1.fq.gz,/bucket/LuscombeU/live/CharlesPlessy/CAGE/2022-02-09_Osaka_Oik/SplitSpliceLeaderPE/results/tagdust/EB3_T1_T1_SL_un_READ2.fq.gz,forward
