sample,fastq_1,fastq_2,strandedness
14FE_SL,../plessy_splitspliceleaderpe/results/tagdust/14FE_T1_SL_READ1.fq.gz,../plessy_splitspliceleaderpe/results/tagdust/14FE_T1_SL_READ2.fq.gz,forward
14FE_no,../plessy_splitspliceleaderpe/results/tagdust/14FE_T1_SL_un_READ1.fq.gz,../plessy_splitspliceleaderpe/results/tagdust/14FE_T1_SL_un_READ2.fq.gz,forward
29FE_SL,../plessy_splitspliceleaderpe/results/tagdust/29FE_T1_SL_READ1.fq.gz,../plessy_splitspliceleaderpe/results/tagdust/29FE_T1_SL_READ2.fq.gz,forward
29FE_no,../plessy_splitspliceleaderpe/results/tagdust/29FE_T1_SL_un_READ1.fq.gz,../plessy_splitspliceleaderpe/results/tagdust/29FE_T1_SL_un_READ2.fq.gz,forward
41MA_SL,../plessy_splitspliceleaderpe/results/tagdust/41MA_T1_SL_READ1.fq.gz,../plessy_splitspliceleaderpe/results/tagdust/41MA_T1_SL_READ2.fq.gz,forward
41MA_no,../plessy_splitspliceleaderpe/results/tagdust/41MA_T1_SL_un_READ1.fq.gz,../plessy_splitspliceleaderpe/results/tagdust/41MA_T1_SL_un_READ2.fq.gz,forward
D1D4_SL,../plessy_splitspliceleaderpe/results/tagdust/D1D4_T1_SL_READ1.fq.gz,../plessy_splitspliceleaderpe/results/tagdust/D1D4_T1_SL_READ2.fq.gz,forward
D1D4_no,../plessy_splitspliceleaderpe/results/tagdust/D1D4_T1_SL_un_READ1.fq.gz,../plessy_splitspliceleaderpe/results/tagdust/D1D4_T1_SL_un_READ2.fq.gz,forward
D4D5_SL,../plessy_splitspliceleaderpe/results/tagdust/D4D5_T1_SL_READ1.fq.gz,../plessy_splitspliceleaderpe/results/tagdust/D4D5_T1_SL_READ2.fq.gz,forward
D4D5_no,../plessy_splitspliceleaderpe/results/tagdust/D4D5_T1_SL_un_READ1.fq.gz,../plessy_splitspliceleaderpe/results/tagdust/D4D5_T1_SL_un_READ2.fq.gz,forward
Rep1_SL,../plessy_splitspliceleaderpe/results/tagdust/Rep1_T1_SL_READ1.fq.gz,../plessy_splitspliceleaderpe/results/tagdust/Rep1_T1_SL_READ2.fq.gz,forward
Rep1_no,../plessy_splitspliceleaderpe/results/tagdust/Rep1_T1_SL_un_READ1.fq.gz,../plessy_splitspliceleaderpe/results/tagdust/Rep1_T1_SL_un_READ2.fq.gz,forward
Rep2_SL,../plessy_splitspliceleaderpe/results/tagdust/Rep2_T1_SL_READ1.fq.gz,../plessy_splitspliceleaderpe/results/tagdust/Rep2_T1_SL_READ2.fq.gz,forward
Rep2_no,../plessy_splitspliceleaderpe/results/tagdust/Rep2_T1_SL_un_READ1.fq.gz,../plessy_splitspliceleaderpe/results/tagdust/Rep2_T1_SL_un_READ2.fq.gz,forward
Rep3_SL,../plessy_splitspliceleaderpe/results/tagdust/Rep3_T1_SL_READ1.fq.gz,../plessy_splitspliceleaderpe/results/tagdust/Rep3_T1_SL_READ2.fq.gz,forward
Rep3_no,../plessy_splitspliceleaderpe/results/tagdust/Rep3_T1_SL_un_READ1.fq.gz,../plessy_splitspliceleaderpe/results/tagdust/Rep3_T1_SL_un_READ2.fq.gz,forward
Rep4_SL,../plessy_splitspliceleaderpe/results/tagdust/Rep4_T1_SL_READ1.fq.gz,../plessy_splitspliceleaderpe/results/tagdust/Rep4_T1_SL_READ2.fq.gz,forward
Rep4_no,../plessy_splitspliceleaderpe/results/tagdust/Rep4_T1_SL_un_READ1.fq.gz,../plessy_splitspliceleaderpe/results/tagdust/Rep4_T1_SL_un_READ2.fq.gz,forward
